gene_name	gene_id	genome_id	start	stop	strand
K07814	SKKH01000128.1_12	SKKH01000128.1	11375	12535	1
K09898	NZ_FOKB01000001.1_452	NZ_FOKB01000001.1	499130	499357	-1
K00942	ONIO01000004.1_8	ONIO01000004.1	6661	7245	1
K03797	UNSK01000009.1_2	UNSK01000009.1	1566	2765	1
K00278	NIUT01000082.1_24	NIUT01000082.1	21175	22809	-1
K03530	NZ_KB899538.1_1011	NZ_KB899538.1	1082263	1082535	1
K12573	NZ_BBZB01000001.1_812	NZ_BBZB01000001.1	877644	880163	1
K02622	NZ_JAMXAX010000024.1_33	NZ_JAMXAX010000024.1	28616	30598	1
K01662	NZ_WUED01000003.1_57	NZ_WUED01000003.1	52414	54261	1
K14742	NZ_CP042412.1_1871	NZ_CP042412.1	1940961	1941578	1
K03688	MHZT01000030.1_192	MHZT01000030.1	182016	183548	1
K06168	JAFLEA010000008.1_68	JAFLEA010000008.1	63298	64752	-1
K03723	JAHAZA010000039.1_6	JAHAZA010000039.1	4098	7700	-1
K21087	CAJAQT010000125.1_52	CAJAQT010000125.1	55025	55846	-1
K04053	NZ_CM003626.1_1852	NZ_CM003626.1	2081588	2081926	-1
K15987	NZ_CP014525.1_1589	NZ_CP014525.1	1736917	1739004	1
K03168	NZ_CP060632.1_1442	NZ_CP060632.1	1594862	1596916	-1
K00950	NZ_CP060707.1_610	NZ_CP060707.1	614985	615461	1
K00919	NC_014810.2_1200	NC_014810.2	1197287	1198072	-1
K03179	NZ_LR134372.1_352	NZ_LR134372.1	338393	339268	1
K02014	NZ_CP008849.1_3243	NZ_CP008849.1	3765092	3767419	-1
K04060	NZ_LKEH01000017.1_161	NZ_LKEH01000017.1	185130	185468	-1
K03657	NZ_AP018549.1_1491	NZ_AP018549.1	1546601	1548874	-1
K00943	NZ_LGUG01000017.1_5	NZ_LGUG01000017.1	3626	4267	1
K07305	NZ_LDJO01000012.1_43	NZ_LDJO01000012.1	44700	45167	-1
K03413	NC_013891.1_593	NC_013891.1	634814	635173	1
K03412	BJUT01000015.1_39	BJUT01000015.1	44882	46027	-1
K03406	NZ_CP060040.1_2531	NZ_CP060040.1	2841946	2844993	1
K04061	NZ_MVAR01000005.1_4	NZ_MVAR01000005.1	3531	3902	1
K00928	NZ_JRAA01000003.1_472	NZ_JRAA01000003.1	471097	472335	1
K03569	NZ_CP049783.1_2155	NZ_CP049783.1	2369390	2370388	1
K02341	NZ_CP017705.1_2051	NZ_CP017705.1	2201170	2202153	1
K03415	AP025476.1_780	AP025476.1	895186	896112	1
K10942	NZ_CDBK01000105.1_76	NZ_CDBK01000105.1	88045	89079	1
K03496	NC_021505.1_1436	NC_021505.1	1665315	1666103	1
K13584	NZ_RZOY02000003.1_181	NZ_RZOY02000003.1	177708	178403	-1
K03706	NZ_LSBB01000020.1_760	NZ_LSBB01000020.1	737486	738265	1
K01872	NZ_MVFY01000002.1_337	NZ_MVFY01000002.1	385087	387714	1
K00575	NC_021505.1_1372	NC_021505.1	1595386	1596213	1
K02391	ONPL01000107.1_6	ONPL01000107.1	5408	6154	-1
K03407	NZ_LT906480.1_2271	NZ_LT906480.1	2416027	2417856	-1
K02242	NZ_BIMC01000021.1_87	NZ_BIMC01000021.1	114871	115521	-1
K13587	NZ_AUTC01000077.1_103	NZ_AUTC01000077.1	109700	112297	1
K02397	CAAGEP010000004.1_60	CAAGEP010000004.1	63298	65634	1
K03414	NZ_SUQN01000005.1_132	NZ_SUQN01000005.1	124980	125630	1
K06204	NZ_CP083370.1_1560	NZ_CP083370.1	1609441	1609860	-1
K02967	NZ_JYNW01000019.1_19	NZ_JYNW01000019.1	15002	15709	1
K03801	NZ_CP029427.1_3470	NZ_CP029427.1	3752622	3753359	1
K03411	NZ_BCPV01000003.1_34	NZ_BCPV01000003.1	33362	33859	-1
K03602	NZ_JAHGUP010000025.1_27	NZ_JAHGUP010000025.1	27212	27481	1
K03408	NZ_CP025999.1_1872	NZ_CP025999.1	2087760	2088251	-1
K01940	NZ_CP018049.1_1099	NZ_CP018049.1	1312376	1313593	1
K01465	NZ_VFEU01000003.1_345	NZ_VFEU01000003.1	346350	347396	1
K03581	URPH01000003.1_50	URPH01000003.1	59277	61556	-1
K00566	DTUY01000013.1_7	DTUY01000013.1	4999	6093	-1
K06313	NZ_FOBD01000010.1_47	NZ_FOBD01000010.1	43268	44614	1
K02423	NZ_CP007445.1_2565	NZ_CP007445.1	2913782	2914129	-1
K04096	NZ_JAERUC010000170.1_16	NZ_JAERUC010000170.1	16420	17580	-1
K09808	NZ_JYLO01000010.1_167	NZ_JYLO01000010.1	163537	164787	1
K02413	NZ_JAJAVQ010000005.1_155	NZ_JAJAVQ010000005.1	188679	189098	-1
K03683	NZ_LRRU01000004.1_13	NZ_LRRU01000004.1	17950	18678	-1
K03088	NZ_LSIF01000024.1_2	NZ_LSIF01000024.1	3237	3863	-1
K01939	NZ_ADGY01000045.1_32	NZ_ADGY01000045.1	33598	34818	-1
K20976	NZ_FNJH01000003.1_431	NZ_FNJH01000003.1	486168	486524	1
K20978	NZ_NIWT01000002.1_159	NZ_NIWT01000002.1	177333	177632	1
K21603	CP104040.1_355	CP104040.1	357494	358165	1
K03733	JAHIPE010000180.1_8	JAHIPE010000180.1	5876	6799	-1
K06949	NZ_JYLI01000004.1_199	NZ_JYLI01000004.1	240325	241356	-1
K09667	WFVD01000015.1_288	WFVD01000015.1	297985	302412	1
K06886	NZ_CAESCH010000001.1_1102	NZ_CAESCH010000001.1	1230280	1230714	-1
K01126	NZ_CP019980.1_1772	NZ_CP019980.1	1836583	1837311	1
K02414	PMVV01000438.1_51	PMVV01000438.1	42783	44243	1
K02390	CAJUSG010000038.1_28	CAJUSG010000038.1	21777	23042	1
K03667	NZ_HG005139.1_1386	NZ_HG005139.1	1515728	1517131	1
K00344	NZ_WHUV01000001.1_271	NZ_WHUV01000001.1	298568	299545	-1
K03181	NZ_NIJM01000009.1_101	NZ_NIJM01000009.1	106724	107302	1
K03529	SYLG01000057.1_6	SYLG01000057.1	5147	8776	-1
K06213	MFTB01000042.1_23	MFTB01000042.1	28641	29996	1
K00945	NZ_VCIA01000001.1_29	NZ_VCIA01000001.1	25094	25792	-1
K02529	NC_012850.1_3419	NC_012850.1	3479463	3480506	1
K02913	NZ_AYKT01000002.1_416	NZ_AYKT01000002.1	414510	414659	1
K03151	NZ_FLLQ01000003.1_462	NZ_FLLQ01000003.1	493220	494668	1
K12132	PCXC01000024.1_5	PCXC01000024.1	6486	8480	1
K07126	NZ_JAGQAG010000001.1_1860	NZ_JAGQAG010000001.1	1900334	1900888	-1
K13590	JAAESX010000332.1_27	JAAESX010000332.1	21278	22753	1
K21420	JABJKH010000079.1_31	JABJKH010000079.1	27232	27963	-1
K00997	NZ_CP053827.1_761	NZ_CP053827.1	726803	727150	1
K00946	NZ_NOXS01000032.1_457	NZ_NOXS01000032.1	452081	453067	-1
K03220	NZ_CP025263.1_722	NZ_CP025263.1	861220	862113	1
K04487	NZ_KK082149.1_36	NZ_KK082149.1	33347	34546	1
K03702	NZ_AP025343.1_6045	NZ_AP025343.1	6727660	6729651	-1
K01873	DKZA01000038.1_28	DKZA01000038.1	32398	35094	1
K03111	PFJX01000126.1_9	PFJX01000126.1	5869	6348	-1
K02441	NZ_NBUS01000036.1_106	NZ_NBUS01000036.1	109219	110067	1
K15894	NZ_AKVN02000001.1_869	NZ_AKVN02000001.1	933958	934941	1
K02621	NZ_CP021361.1_2757	NZ_CP021361.1	2914010	2916364	-1
K13292	JAEDFX010000070.1_5	JAEDFX010000070.1	5255	6235	-1
K00995	DDWZ01000019.1_20	DDWZ01000019.1	25166	25735	-1
K07056	JAIPFV010000071.1_12	JAIPFV010000071.1	9544	10224	-1
K03704	NZ_CP046103.1_3273	NZ_CP046103.1	3564835	3565038	-1
K07814	CAJTCE010000045.1_16	CAJTCE010000045.1	15932	17029	1
K09898	NZ_QJRC01000101.1_117	NZ_QJRC01000101.1	126493	126720	1
K00942	JAHAYJ010000125.1_38	JAHAYJ010000125.1	33599	34186	-1
K03797	DFJV01000141.1_10	DFJV01000141.1	11229	12731	1
K00278	NZ_JAAIYB010000201.1_3	NZ_JAAIYB010000201.1	1193	2782	1
K03530	NZ_BCWM01000010.1_57	NZ_BCWM01000010.1	49709	49987	-1
K12573	NZ_QPQT01000002.1_184	NZ_QPQT01000002.1	196779	199232	1
K02622	NZ_CP037993.1_1837	NZ_CP037993.1	2083723	2085711	-1
K01662	MICF01000011.1_122	MICF01000011.1	123846	125666	-1
K14742	DMQP01000082.1_21	DMQP01000082.1	16281	16967	1
K03688	NZ_FWFV01000005.1_95	NZ_FWFV01000005.1	118982	120514	1
K06168	NZ_RDQN01000004.1_228	NZ_RDQN01000004.1	251626	253125	-1
K03723	ONHK01000024.1_27	ONHK01000024.1	19426	23067	1
K21087	NZ_CADIJY010000002.1_56	NZ_CADIJY010000002.1	59099	59902	-1
K04053	NZ_JYLF01000003.1_427	NZ_JYLF01000003.1	469908	470246	-1
K15987	NZ_PJRR01000007.1_24	NZ_PJRR01000007.1	20928	23066	1
K03168	NZ_QUFB01000001.1_9	NZ_QUFB01000001.1	7552	9630	1
K00950	NZ_RZHE01000015.1_288	NZ_RZHE01000015.1	308020	308463	-1
K00919	NZ_CP053826.1_1241	NZ_CP053826.1	1293329	1294072	1
K03179	NZ_CP053826.1_185	NZ_CP053826.1	191769	192638	1
K02014	NZ_LYMI01000078.1_34	NZ_LYMI01000078.1	36703	39804	-1
K04060	NZ_FOUS01000022.1_3	NZ_FOUS01000022.1	3049	3477	-1
K03657	NC_020059.1_2190	NC_020059.1	2253286	2255751	1
K00943	DJGN01000022.1_145	DJGN01000022.1	151432	152061	1
K07305	NZ_CP019797.1_398	NZ_CP019797.1	466018	466485	-1
K03413	NZ_AYTM02000002.1_356	NZ_AYTM02000002.1	394484	394858	-1
K03412	NZ_CP021838.1_956	NZ_CP021838.1	890491	891561	-1
K03406	NZ_CAPJ01000265.1_23	NZ_CAPJ01000265.1	20219	22435	1
K04061	PAQY01000012.1_533	PAQY01000012.1	542070	542417	-1
K00928	JAABYT010000024.1_113	JAABYT010000024.1	132717	133961	1
K03569	NZ_RHHO01000098.1_3	NZ_RHHO01000098.1	666	1682	1
K02341	QRVH01000072.1_6	QRVH01000072.1	4773	5768	1
K03415	NZ_CAPJ01000076.1_9	NZ_CAPJ01000076.1	11183	12136	1
K10942	NZ_JWIG01000001.1_200	NZ_JWIG01000001.1	222477	223589	-1
K03496	NZ_JAHSTW010000004.1_207	NZ_JAHSTW010000004.1	234672	235460	1
K13584	NZ_CP096255.1_8008	NZ_CP096255.1	8124350	8125051	1
K03706	NZ_JNIR01000001.1_1659	NZ_JNIR01000001.1	1538143	1538922	-1
K01872	NZ_VXJV01000001.1_178	NZ_VXJV01000001.1	183618	186248	-1
K00575	NZ_JPRD01000006.1_122	NZ_JPRD01000006.1	139550	140377	1
K02391	CAAGQE010000316.1_6	CAAGQE010000316.1	3706	4419	1
K03407	NC_022781.1_4228	NC_022781.1	4172253	4174238	1
K02242	NZ_CP033043.1_3543	NZ_CP033043.1	3576096	3576788	-1
K13587	NZ_CP039435.1_28	NZ_CP039435.1	30439	32490	-1
K02397	NZ_FPEI01000004.1_664	NZ_FPEI01000004.1	696091	697140	-1
K03414	NZ_HE997643.1_1328	NZ_HE997643.1	1464231	1464875	-1
K06204	JAFKEW010000062.1_48	JAFKEW010000062.1	48629	49045	-1
K02967	NZ_CP065424.1_3103	NZ_CP065424.1	3129497	3130231	-1
K03801	JABARS010000035.1_59	JABARS010000035.1	49639	50391	1
K03411	NZ_LECW02000015.1_57	NZ_LECW02000015.1	52376	52882	1
K03602	NZ_JZSK01000019.1_61	NZ_JZSK01000019.1	58936	59181	1
K03408	JADJZF010000007.1_160	JADJZF010000007.1	152367	152876	1
K01940	NZ_LKEG01000052.1_470	NZ_LKEG01000052.1	517636	518853	1
K01465	NZ_JYLD01000007.1_19	NZ_JYLD01000007.1	19029	20075	-1
K03581	CAKRFY010000005.1_43	CAKRFY010000005.1	47297	49531	1
K00566	JAEPQD010000002.1_369	JAEPQD010000002.1	392823	394040	1
K06313	NZ_AP025344.1_3222	NZ_AP025344.1	3694610	3695953	-1
K02423	CP073693.1_853	CP073693.1	902801	903205	-1
K04096	BNBX01000014.1_61	BNBX01000014.1	62076	63446	1
K09808	NZ_LT629783.1_4320	NZ_LT629783.1	4787365	4788615	1
K02413	NHDS01000036.1_23	NHDS01000036.1	20735	21148	1
K03683	NZ_AFWE01000102.1_8	NZ_AFWE01000102.1	5527	6252	1
K03088	NZ_RSEC01000024.1_68	NZ_RSEC01000024.1	78493	79062	1
K01939	NZ_AHCB03000007.1_383	NZ_AHCB03000007.1	428687	430000	-1
K20976	NZ_CP071007.1_3801	NZ_CP071007.1	4273786	4274133	-1
K20978	NZ_BQHR01000007.1_130	NZ_BQHR01000007.1	132162	132461	-1
K21603	NZ_JAGHMH010000003.1_83	NZ_JAGHMH010000003.1	74891	75562	1
K03733	NZ_BJUA01000001.1_22	NZ_BJUA01000001.1	23770	24690	-1
K06949	NZ_JXXU01000018.1_78	NZ_JXXU01000018.1	85198	86253	1
K09667	JACPYP010000029.1_203	JACPYP010000029.1	215261	216865	-1
K06886	JAGGRA010000085.1_18	JAGGRA010000085.1	17450	17854	-1
K01126	NZ_VFIL01000003.1_274	NZ_VFIL01000003.1	310198	310920	-1
K02414	LFER01000062.1_13	LFER01000062.1	7802	11017	-1
K02390	ONVC01000009.1_31	ONVC01000009.1	29501	30826	-1
K03667	NZ_LVWI01000039.1_16	NZ_LVWI01000039.1	15315	16715	1
K00344	NZ_CP094351.1_4905	NZ_CP094351.1	5543795	5544772	1
K03181	NZ_CP022522.1_2807	NZ_CP022522.1	3341476	3342009	-1
K03529	SXOD01000047.1_20	SXOD01000047.1	24449	28228	-1
K06213	NZ_JABBJE010000008.1_92	NZ_JABBJE010000008.1	85174	86592	1
K00945	NZ_BMKR01000007.1_91	NZ_BMKR01000007.1	88379	89089	-1
K02529	NZ_CM001792.1_2289	NZ_CM001792.1	2254168	2255166	-1
K02913	URLU01000207.1_3	URLU01000207.1	2079	2285	1
K03151	NVWU01000022.1_20	NVWU01000022.1	16120	17574	1
K12132	CAMAYU010000006.1_40	CAMAYU010000006.1	41004	44912	-1
K07126	CAMARI010000004.1_26	CAMARI010000004.1	23692	26244	1
K13590	NZ_CP050451.1_4810	NZ_CP050451.1	4928308	4929885	1
K21420	CAINOV010000150.1_6	CAINOV010000150.1	5736	6503	1
K00997	NZ_CP053825.1_243	NZ_CP053825.1	224928	225278	-1
K00946	JABJJH010000251.1_4	JABJJH010000251.1	1263	2240	1
K03220	NZ_JQGJ02000003.1_303	NZ_JQGJ02000003.1	331684	332577	-1
K04487	NZ_BMHE01000001.1_194	NZ_BMHE01000001.1	204450	205628	-1
K03702	NZ_CP040396.1_3715	NZ_CP040396.1	4033338	4035416	-1
K01873	CAJUND010000007.1_95	CAJUND010000007.1	104143	106791	-1
K03111	NZ_WQGO01000003.1_617	NZ_WQGO01000003.1	617864	618370	-1
K02441	AP025492.1_2958	AP025492.1	3423158	3424000	-1
K15894	NZ_CP048815.1_4904	NZ_CP048815.1	5486749	5487783	-1
K02621	NZ_CP014646.1_209	NZ_CP014646.1	225116	227560	-1
K13292	CALXKN010000001.1_354	CALXKN010000001.1	406561	407625	1
K00995	CAJTPV010000023.1_8	CAJTPV010000023.1	7283	7804	-1
K07056	CAKVCG010000003.1_32	CAKVCG010000003.1	32862	33638	-1
K03704	JAMPFU010000006.1_15	JAMPFU010000006.1	11823	12035	1
K07814	CAJUSR010000019.1_13	CAJUSR010000019.1	15141	16238	-1
K09898	NZ_CP077079.1_3938	NZ_CP077079.1	4432638	4432865	1
K00942	RAYM01000049.1_33	RAYM01000049.1	31731	32321	-1
K03797	NZ_CP096889.1_3477	NZ_CP096889.1	3541433	3542875	-1
K00278	JACZQN010000001.1_48	JACZQN010000001.1	45362	47020	-1
K03530	NZ_JAERIV010000003.1_85	NZ_JAERIV010000003.1	89817	90098	1
K12573	NZ_JAAIKR010000004.1_156	NZ_JAAIKR010000004.1	156147	158606	1
K02622	NZ_BBJR01000041.1_59	NZ_BBJR01000041.1	62912	64837	1
K01662	JACRSG010000005.1_60	JACRSG010000005.1	56535	58382	1
K14742	NZ_JALKIL010000029.1_2	NZ_JALKIL010000029.1	4117	4854	-1
K03688	JAGRDU010000055.1_13	JAGRDU010000055.1	12148	13677	1
K06168	NZ_VOHE01000007.1_65	NZ_VOHE01000007.1	71316	72734	-1
K03723	JAFUFU010000008.1_66	JAFUFU010000008.1	75998	79717	1
K21087	NZ_CP048411.1_83	NZ_CP048411.1	77047	77793	-1
K04053	NZ_CP011104.1_475	NZ_CP011104.1	600812	601150	1
K15987	JAIOYK010000012.1_81	JAIOYK010000012.1	85355	87466	-1
K03168	NZ_CP018846.1_3237	NZ_CP018846.1	3641060	3642082	1
K00950	NZ_JADE01000007.1_77	NZ_JADE01000007.1	77968	78438	1
K00919	NZ_GG661976.1_10	NZ_GG661976.1	8792	9622	-1
K03179	NZ_QPGR01000001.1_223	NZ_QPGR01000001.1	231917	232792	1
K02014	NZ_FMAD01000012.1_31	NZ_FMAD01000012.1	36394	38517	1
K04060	NZ_JAFFZW010000002.1_96	NZ_JAFFZW010000002.1	99542	99880	1
K03657	NZ_NHYK01000007.1_33	NZ_NHYK01000007.1	39269	41287	1
K00943	URMF01000008.1_6	URMF01000008.1	4860	5528	1
K07305	NZ_JANADK010000001.1_5992	NZ_JANADK010000001.1	6402842	6403354	-1
K03413	NZ_BCUF01000030.1_29	NZ_BCUF01000030.1	29171	29551	1
K03412	NC_017542.1_1971	NC_017542.1	2185858	2187411	1
K03406	NZ_CDBH01000044.1_192	NZ_CDBH01000044.1	235928	237901	-1
K04061	NZ_BCVE01000024.1_62	NZ_BCVE01000024.1	65085	65381	-1
K00928	NZ_FOUD01000013.1_17	NZ_FOUD01000013.1	15275	16510	-1
K03569	NZ_JABBPK010000001.1_4439	NZ_JABBPK010000001.1	4724597	4725598	-1
K02341	CAJTFB010000012.1_77	CAJTFB010000012.1	82432	83418	1
K03415	NZ_CP008849.1_971	NZ_CP008849.1	1121846	1122775	1
K10942	NZ_VZPJ01000010.1_172	NZ_VZPJ01000010.1	183714	184922	-1
K03496	NZ_MDCB01000001.1_172	NZ_MDCB01000001.1	211218	212000	-1
K13584	NZ_FMAF01000003.1_112	NZ_FMAF01000003.1	110411	111112	1
K03706	CP049781.1_642	CP049781.1	706164	706946	1
K01872	NZ_FQWI01000015.1_16	NZ_FQWI01000015.1	13351	15978	1
K00575	NZ_CP019445.1_907	NZ_CP019445.1	1014257	1015114	1
K02391	DGOD01000320.1_2	DGOD01000320.1	182	949	-1
K03407	NC_011772.1_1500	NC_011772.1	1559906	1561909	1
K02242	FR900158.1_22	FR900158.1	17454	18185	1
K13587	JACJIB010000012.1_67	JACJIB010000012.1	67628	70348	-1
K02397	JAFKJU010000016.1_11	JAFKJU010000016.1	11155	12198	1
K03414	NZ_CP086253.1_1572	NZ_CP086253.1	1716682	1717326	1
K06204	NZ_KQ410725.1_45	NZ_KQ410725.1	49983	50402	-1
K02967	NZ_CP098323.1_1811	NZ_CP098323.1	1804019	1804720	1
K03801	JAHBZB010000003.1_99	JAHBZB010000003.1	76273	76968	-1
K03411	NZ_MRBL01000005.1_90	NZ_MRBL01000005.1	94525	95031	-1
K03602	NZ_MRCI01000001.1_242	NZ_MRCI01000001.1	271328	271567	-1
K03408	NZ_FQVF01000021.1_42	NZ_FQVF01000021.1	41652	42143	1
K01940	NZ_BQHR01000014.1_54	NZ_BQHR01000014.1	65879	67096	1
K01465	NZ_CP012831.1_3653	NZ_CP012831.1	4126028	4127074	-1
K03581	CAKRFU010000010.1_86	CAKRFU010000010.1	108397	110640	1
K00566	NCEV01000022.1_53	NCEV01000022.1	52813	54009	-1
K06313	NZ_WNZY01000003.1_134	NZ_WNZY01000003.1	133565	134929	-1
K02423	CAIKQM010000003.1_6	CAIKQM010000003.1	4731	5093	1
K04096	NZ_FNSZ01000001.1_2436	NZ_FNSZ01000001.1	2744714	2745874	-1
K09808	NZ_VTFG01000002.1_509	NZ_VTFG01000002.1	543520	544770	-1
K02413	NZ_VNHJ01000006.1_59	NZ_VNHJ01000006.1	76893	77297	1
K03683	NZ_AP019654.1_2125	NZ_AP019654.1	2379796	2380458	1
K03088	NZ_SPQS01000003.1_144	NZ_SPQS01000003.1	142360	143046	1
K01939	NZ_UGIA01000001.1_171	NZ_UGIA01000001.1	177224	178459	1
K20976	NZ_CP060201.1_1269	NZ_CP060201.1	1384048	1384392	-1
K20978	NZ_JH650773.1_52	NZ_JH650773.1	59392	59697	1
K21603	NZ_JACHOS010000017.1_98	NZ_JACHOS010000017.1	115362	116042	-1
K03733	NZ_JACHWH010000002.1_569	NZ_JACHWH010000002.1	594868	595863	-1
K06949	NYUB01000042.1_39	NYUB01000042.1	35163	36020	-1
K09667	CAJBRY010000791.1_4	CAJBRY010000791.1	1981	3873	1
K06886	NZ_KZ454941.1_2699	NZ_KZ454941.1	2797775	2798173	1
K01126	NZ_JAAAWP010000002.1_323	NZ_JAAAWP010000002.1	375854	377017	-1
K02414	CP076039.1_3438	CP076039.1	3726028	3727971	-1
K02390	QXXE01000088.1_13	QXXE01000088.1	13328	14539	1
K03667	NZ_LMFO01000029.1_207	NZ_LMFO01000029.1	241329	242729	1
K00344	NZ_CABVIE010000004.1_321	NZ_CABVIE010000004.1	331221	332198	-1
K03181	NZ_NBYY01000011.1_154	NZ_NBYY01000011.1	156891	157427	-1
K03529	PAJV01000016.1_87	PAJV01000016.1	103392	107309	-1
K06213	NZ_MBQE01000001.1_879	NZ_MBQE01000001.1	940439	941899	-1
K00945	NZ_PYWM01000015.1_37	NZ_PYWM01000015.1	33836	34510	1
